text,predicted_class,confidence,user_category,ablation_mode,explanation,lime_coverage,ontology_hit_rate,flesch_reading_ease,flesch_kincaid_grade,smog_index
Intraepithelial anchoring fibril components. Cultured human keratinocytes and cu…,Neoplasms,0.8585,EXPERT,normal,"The model classified the biomedical abstract as ""Neoplastic"" due to the mention of ""cancer"" and ""cellular proliferation"" in the text. The key tokens responsible for this prediction are ""carcinoma,"" which is a type of neoplasm characterized by abnormal cell growth and proliferation. The abstract discusses cultured human cells, including carcinoma cells, and mentions the presence of intracellular antigens and calcium-sensitive epitopes, all of which are hallmarks of neoplastic processes. The model likely inferred from these details that the cells in question are abnormal and potentially cancerous.",1.0,1.0,21.71482558139536,15.571744186046512,16.827784334635936
The effects of nonthyroid disease and drugs on thyroid function tests. Serious n…,General pathological conditions,0.6815,EXPERT,normal,"The model predicted General pathological conditions, but no ontology-based features were available to explain this decision.",0.0,0.0,-10.329999999999984,18.675,18.243605946275583
Prostatic duct adenocarcinoma. Findings at radical prostatectomy. Previous studi…,Neoplasms,0.8511,EXPERT,normal,"The model predicted Neoplasms, but no ontology-based features were available to explain this decision.",0.0,0.0,17.382142857142867,14.312857142857148,14.554592549557764
Review of clinical experience with digoxin immune Fab (ovine). Following the dev…,General pathological conditions,0.4776,EXPERT,normal,"The model classified the abstract as ""General pathological conditions"" because it identified key words and phrases related to heart function and electrolyte imbalances, which are crucial for understanding the broader context of the clinical experience described. The abstract mentions ""heart,"" which is a central organ in the circulatory system. Additionally, it discusses hypokalemic (low potassium) levels, which can lead to heart arrhythmias and other cardiovascular issues. These concepts are directly linked to the broader pathological processes affecting the heart and its function, making them relevant to a classification of general pathological conditions.",0.5,1.0,12.450869565217403,17.236521739130435,17.410965686947208
Effect of increased left atrial pressure on breathing frequency in anesthetized …,Cardiovascular diseases,0.7793,EXPERT,normal,"The model predicted Cardiovascular diseases, but no ontology-based features were available to explain this decision.",0.0,0.0,-11.429999999999978,18.580000000000002,17.122413403193683
Extracorporeal shock wave lithotripsy of gallstones: results and 6-month follow-…,Digestive system diseases,0.8115,EXPERT,normal,"The model predicted Digestive system diseases, but no ontology-based features were available to explain this decision.",0.0,0.0,5.532499999999999,16.462500000000002,17.122413403193683
A biphasic pattern of anti-pre-S responses in acute hepatitis B virus infection.…,Digestive system diseases,0.7331,EXPERT,normal,"The model classified the biomedical abstract as ""Digestive System Diseases"" due to the presence of key words and phrases related to the liver and hepatitis B, which are central to the prediction. Specifically, the abstract mentions ""anti-pre-S"" antibodies, hepatitis B infection, and ""hepatic response."" These terms are directly linked to liver function and viral hepatitis, both of which fall under the broader category of digestive system diseases. The liver, being a crucial organ in the digestive system, plays a significant role in processing and detoxifying substances, including viral infections like hepatitis B. Therefore, the model likely attributed high importance to these terms due to their direct relevance to liver health and viral infections, leading to the classification of the abstract as a digestive system disease.",1.0,1.0,23.08880000000002,16.249600000000004,17.353723509956247
Surgical prophylaxis of malignant melanoma. A review of a 14-year experience wit…,Neoplasms,0.8733,EXPERT,normal,"The model classified the biomedical abstract as ""Neoplastic"" due to the presence of the word ""Melanoma,"" which is a type of neoplasm. Melanoma is an abnormal growth of skin cells, specifically melanocytes, which are responsible for producing melanin, the pigment that gives color to skin, hair, and eyes. In this context, the model identified melanoma as the primary focus of the abstract, indicating a high likelihood of neoplastic activity. The other key tokens, such as ""prophylactic"" and ""removal,"" also contribute to the prediction, as they suggest a preventive measure to reduce the risk of cancer, which aligns with the concept of a neoplasia.",1.0,1.0,32.032730582524295,15.18842233009709,17.122413403193683
"Rapid, nonradioactive detection of clonal T-cell receptor gene rearrangements in…",Neoplasms,0.7611,EXPERT,normal,"The model predicted Neoplasms, but no ontology-based features were available to explain this decision.",0.0,0.0,17.382142857142867,14.312857142857148,14.554592549557764
Cavernous hemangioma of the spinal cord: report of 2 unusual cases. We present 2…,Neoplasms,0.7727,EXPERT,normal,"The model classified the biomedical abstract as ""Neosplasms"" due to the presence of two key terms: ""hemangiom"" and ""spine cord."" These terms are highly relevant because hemangiomas, which are benign tumors of blood vessels, can occur in various parts of the body, including the brain and spinal cord. In this case, the abstract specifically mentions a ""cavernous haemangioma,"" which is a type of hemangiom. Additionally, the mention of ""multiple spinal lesions"" further supports the classification of the abstract as a ""neoplasm,"" as it indicates an abnormal growth of tissue. The use of ""MRI"" (Magnetic Resonance Imaging) is also significant, as it is a non-invasive imaging technique that can provide detailed images of soft tissues, which is crucial for diagnosing and understanding the nature of the lesions described in the",1.0,1.0,35.057302325581446,14.77897674418605,16.15616582465906
Histochemical demonstration of 5'-nucleotidase activity in inflammatory muscle d…,General pathological conditions,0.6255,EXPERT,normal,"The model classified the abstract as ""General pathological conditions"" because it identified key words and phrases related to inflammation, muscle disease, and disease processes. The abstract mentions ""inflammatory muscle disease"" and ""muscle biopsy specimens,"" indicating involvement of inflammatory processes in muscle tissue. Additionally, the mention of ""myositis,"" which is a form of muscle inflammation, further supports the prediction of a general pathological condition. The use of ""histological normal controls"" suggests a comparison with healthy tissue, reinforcing the idea of a broader pathological process affecting multiple organ systems. These concepts align with the broader classification of ""General"" pathological conditions, encompassing inflammatory, fibrotic, and cell death-related processes.",0.6667,1.0,-5.434285714285693,19.234285714285715,18.669449996058646
Refeeding of infants with acute diarrheal disease. The purpose of this study was…,Digestive system diseases,0.7134,EXPERT,normal,"The model classified the biomedical abstract as ""Digestive System Diseases"" due to the presence of key words and phrases related to gastrointestinal issues. The abstract mentions ""infants with acute diarrhea"" and ""infant formula for refeeding,"" which are directly linked to digestive system diseases. The model likely attributed high importance to these terms because they indicate a focus on conditions affecting the digestive tract, such as diarrhea, vomiting, and the use of infant formulas. These topics are central to the classification of diseases within the digestive system, making them the primary drivers of the prediction.",1.0,1.0,22.782500000000027,15.919680851063834,17.410965686947208
HBV-DNA detection by gene amplification in acute hepatitis B. Serum samples from…,Digestive system diseases,0.7323,EXPERT,normal,"The model classified the abstract as a digestive system disease due to the mention of hepatitis, which is a liver disease, and the context of hepatitis in relation to hepatitis B, a viral infection of the liver. ""Hepatitis B"" is a key token responsible for the prediction, as it is a specific type of viral hepatitis that affects the liver, a part of the digestive system. The abstract also mentions hepatitis B-DNA, which further supports the classification as a disease affecting the liver and gastrointestinal tract. The high frequency of detection during hepatitis B antigenemia and convalescence phase aligns with the pathophysiology of liver diseases, making hepatitis B a relevant factor in the abstract's classification.",1.0,1.0,15.810271739130457,18.196413043478262,18.243605946275583
Left ventricular diastolic function in patients with left ventricular systolic d…,Cardiovascular diseases,0.9485,EXPERT,normal,"The model classified the abstract as ""Cardiovascular diseases"" due to the presence of key words and phrases related to heart and vascular conditions. Specifically, the abstract mentions ""left ventricular"" (LV), which is a term used to describe the heart's main pumping chamber. The phrase ""systolic dysfunction"" indicates that the heart is not pumping efficiently, which is characteristic of heart failure. The mention of ""congestive"" heart failure suggests that the patient is experiencing fluid buildup in the lungs, a common symptom of heart disease. The abstract also discusses coronary artery diseases, which are conditions affecting the arteries that supply blood to the heart muscle. The use of ""nicardepine,"" a medication often used to treat heart conditions, further supports the prediction of cardiovascular diseases. The model likely attributed the abstract's content to cardiovascular diseases because of the focus on heart-related conditions, including heart failure and",1.0,1.0,30.506993006993042,14.079240759240761,15.532846611407376
Oxygen uptake and heart rate responses during hypoxic exercise in children and a…,General pathological conditions,0.5042,EXPERT,normal,"The model predicted General pathological conditions, but no ontology-based features were available to explain this decision.",0.0,0.0,-10.329999999999984,18.675,18.243605946275583
Cellular immune response to hepatitis B virus-encoded antigens in acute and chro…,Digestive system diseases,0.7009,EXPERT,normal,"The model classified the biomedical abstract as ""Digestive System Diseases"" due to the presence of key words and phrases related to the liver and hepatitis, which are central to digestive system diseases. Specifically, the abstract mentions ""chronic hepatitis e,"" which is a type of viral hepatitis that affects the liver. The liver is a crucial organ in the digestive system, playing a vital role in metabolism, detoxification, and the production of bile. Chronic hepatitis e can lead to liver damage and various complications, including cirrhosis and hepatocellular carcinoma, all of which fall under the broader category of digestive diseases. Additionally, the mention of ""hepatic immune response"" highlights the importance of the liver in the body's immune system, further supporting the classification as a digestive system disease.",1.0,1.0,16.085571428571455,17.27609523809524,17.353723509956247
"CV 205-502--effectiveness, tolerability, and safety over 24-month study. Twenty …",General pathological conditions,0.5862,EXPERT,normal,"The model predicted General pathological conditions, but no ontology-based features were available to explain this decision.",0.0,0.0,-10.329999999999984,18.675,18.243605946275583
The usefulness of simultaneous determinations of glucosaminylation and fucosylat…,Neoplasms,0.7992,EXPERT,normal,"The model classified the biomedical abstract as ""Neoplastic Diseases of the Liver"" due to the presence of key words and phrases related to cancer and abnormal tissue growth in the abstract excerpt. Specifically, the model identified the terms ""cancer"" and ""neoplasm"" as influential tokens. These terms are crucial because they indicate that the study is focused on diseases characterized by abnormal cell growth or proliferation, which aligns with the classification of the abstract as a ""neoplastic disease."" The abstract discusses the determination of indices related to cell proliferation in the serum of patients with different types of liver diseases, including carcinoma, which is a type of neoplasm. The use of these terms in the context of liver disease underscores the relevance of the study to oncology and highlights the importance of distinguishing between benign and malignant growths in liver tissue.",1.0,1.0,23.113571428571476,16.991428571428575,17.80541091248751
Unusual aspects of aortovenous fistulas associated with ruptured abdominal aorti…,Cardiovascular diseases,0.718,EXPERT,normal,"The model classified the abstract as ""Cardiovascular diseases"" due to the mention of aortic and venous structures, which are key components of the cardiovascular system. Specifically, the phrase ""aortic vein"" and ""retroperitoneal vein"" are crucial because they indicate the involvement of the aorta, a major blood vessel that carries oxygenated blood from the heart to the rest of the body, and veins, which return deoxygenated blood back to the heart. These structures are fundamental to cardiovascular health and are often involved in conditions such as aortic dissection, aortic stenosis, and aortic regurgitation, all of which fall under the broader category of cardiovascular diseases. The presence of these structures in the abstract suggests a high likelihood of cardiovascular-related issues, leading the model to classify it as such.",1.0,1.0,19.762500000000017,18.328333333333337,17.971250198000288
Treatment of cervical spondylotic myelopathy by enlargement of the spinal canal …,Nervous system diseases,0.6074,EXPERT,normal,"The model predicted Nervous system diseases, but no ontology-based features were available to explain this decision.",0.0,0.0,10.820000000000022,15.725000000000005,15.903189008614273
Stroke rehabilitation: Australian patient profile and functional outcome. A pros…,Nervous system diseases,0.5932,EXPERT,normal,"The model predicted Nervous system diseases, but no ontology-based features were available to explain this decision.",0.0,0.0,10.820000000000022,15.725000000000005,15.903189008614273
Systemic hypertension in sleep apnea syndrome. Relationship with sleep architect…,Cardiovascular diseases,0.5745,EXPERT,normal,"The model classified the abstract as ""Cardiovascular diseases"" due to the presence of key words and phrases related to hypertension and apnea, which are directly linked to cardiovascular health. The abstract mentions ""systemic hypertension"" and ""sleep apnea,"" both of which are significant risk factors for cardiovascular diseases. Hypertension, a condition characterized by high blood pressure, is a major risk factor for heart disease, stroke, and other cardiovascular issues. Sleep apnea is a sleep disorder where breathing repeatedly stops and starts during sleep, which can lead to cardiovascular problems and exacerbate hypertension. The model likely attributed the high prevalence of these conditions in the study participants, leading to the cardiovascular diseases classification.",1.0,1.0,14.339837837837877,16.774306306306304,17.353723509956247
Circadian variations in myocardial ischemia. Implications for management. Extend…,Cardiovascular diseases,0.8209,EXPERT,normal,"The model predicted Cardiovascular diseases, but no ontology-based features were available to explain this decision.",0.0,0.0,-11.429999999999978,18.580000000000002,17.122413403193683
Characterization of auscultatory gaps with wideband external pulse recording. Th…,Cardiovascular diseases,0.7493,EXPERT,normal,"The model predicted Cardiovascular diseases, but no ontology-based features were available to explain this decision.",0.0,0.0,-11.429999999999978,18.580000000000002,17.122413403193683
Infantile form of carnitine palmitoyltransferase II deficiency with hepatomuscul…,Digestive system diseases,0.5239,EXPERT,normal,"The model classified the given abstract as ""Digestive System Diseases"" due to the presence of key words and phrases related to the cardiovascular system. Specifically, the phrase ""heart beat disorders"" and the mention of ""sudden death"" in the abstract are highly relevant to this classification. The heart is a critical organ in the circulatory system, and disorders of the heart can have significant implications for overall health, including sudden cardiac events. The association of heart disorders with sudden death underscores the importance of cardiovascular health in this patient population. Additionally, the abstract mentions ""skeletal muscle,"" which is part of the musculoskeletal system, further supporting the classification as a digestive system disease.",1.0,1.0,21.199297297297335,15.81754954954955,16.887214914478655
Amyotrophic lateral sclerosis: fasting plasma levels of cysteine and inorganic s…,Nervous system diseases,0.729,EXPERT,normal,"The model classified the abstract as a nervous system disease due to the presence of key words and phrases related to the central nervous system (CNS). Specifically, the abstract mentions ""brain,"" which is a crucial component of the CNS. The model likely attributed high importance to this term because it is a central part of the nervous system and is directly involved in various neurological functions. Additionally, the mention of ""cysteine"" and ""inorganic sulfate"" in the context of brain contents suggests that these biomarkers are relevant to CNS health and function. These biomarkers could indicate disruptions in neurotransmitter metabolism or other CNS-related processes, which are hallmarks of nervous system diseases. Therefore, the model likely inferred that the abstract pertains to a condition affecting the CNS, leading to the classification of ""nerve diseases"" as the most appropriate category.",1.0,1.0,32.98471411192216,14.331058394160582,14.790194502661404
Resection of the primary liver cancer of the hepatic hilus. Primary liver cancer…,Neoplasms,0.7682,EXPERT,normal,"The model classified the biomedical abstract as ""Neoplastic"" due to the mention of ""cancers"" and ""portal veins"" in the text. These terms are directly related to neoplastic growths, which are abnormal tissue growths that can be either benign or cancerous. ""Portal veins"" specifically refer to the blood vessels that carry blood from the liver to the heart, and their mention in the context of liver cancer underscores the importance of this organ in the disease process. This information, combined with the description of the tumor's location and characteristics, led the model to classify the abstract as a case of neoplasia, indicating an abnormal growth of tissue in the liver.",1.0,1.0,39.46982798165138,14.523738532110091,15.579741850924794
Pulmonary resection combined with cardiac operations. Surgical management of pat…,Cardiovascular diseases,0.4145,EXPERT,normal,"The model predicted Cardiovascular diseases, but no ontology-based features were available to explain this decision.",0.0,0.0,-11.429999999999978,18.580000000000002,17.122413403193683
Neuro-ophthalmic manifestations of human immunodeficiency virus infection. Both …,Neoplasms,0.5218,EXPERT,normal,"The model classified the biomedical abstract as ""Neoplastic"" because the key token ""Brain"" in the abstract is highly influential. The brain is a critical organ in the central nervous system, and HIV infection can lead to various neurological complications, including brain tumors and gliomas. These conditions are classified as neoplasia due to the uncontrolled growth of abnormal cells in the brain tissue. Therefore, the abstract's mention of the brain's involvement in HIV-related complications strongly supports the prediction of a neoplasm.",1.0,1.0,32.14000000000004,13.745000000000001,16.218646115125612
Postlaminectomy ossified extradural pseudocyst. Case report. A large ossified sp…,General pathological conditions,0.6085,EXPERT,normal,"The model classified this abstract as ""General pathological conditions"" because the key token ""meningocele"" is highly influential. A meningocele is a congenital malformation of the meninges, the protective membranes that cover the brain and spinal cord. In this case, the patient developed a large ossification of the dural meningeal sheath, which is a rare complication of laminectomy surgery. The presence of a spastic meningoceles, as described in the abstract, is indicative of a systemic inflammatory response to the surgical trauma, leading to fibrosis and the formation of a cystic lesion. This pathological process is consistent with the broader category of general pathological conditions, encompassing a wide range of inflammatory, fibrotic, and degenerative processes affecting multiple organ systems.",1.0,1.0,17.499384615384628,16.631726495726493,17.80541091248751
Gallstone pancreatitis. Choosing and timing treatment. Patients with gallstone p…,Digestive system diseases,0.8022,EXPERT,normal,"The model classified the abstract as a digestive system disease due to the presence of key words and phrases related to the liver, which is a crucial organ in the digestive system. The abstract mentions ""surgery"" and ""endoscopic intervention,"" both of which are surgical procedures involving the liver. Additionally, the mention of ""serum enzyme levels"" suggests that liver function is being evaluated, further supporting the classification of digestive system diseases. The liver is a vital organ that plays a critical role in metabolism, detoxification, and bile production, making it a central component of the digestive process. Therefore, the abstract's focus on liver-related issues strongly indicates that it falls under the category of digestive diseases.",1.0,1.0,20.42984210526319,16.073929824561407,16.647925096878797
Angiotensin converting enzyme inhibitors and quality of life. The term quality o…,Cardiovascular diseases,0.9435,EXPERT,normal,"The model classified the abstract as ""Cardiovascular diseases"" due to the presence of key words and phrases related to hypertension, which is a major risk factor for cardiovascular diseases. The abstract mentions ""hypo-tension"" and ""antihy-per-tensive therapy,"" both of which are directly linked to high blood pressure. High blood pressure, also known as hypertension, is a significant cause of cardiovascular diseases, including heart attacks, strokes, and heart failure. Therefore, the abstract's content is strongly indicative of cardiovascular disease, leading the model to classify it as such.",1.0,1.0,22.038014705882375,15.464558823529412,15.903189008614273
Swan-Ganz catheter-induced massive hemoptysis and pulmonary artery false aneurys…,Cardiovascular diseases,0.7713,EXPERT,normal,"The model classified the abstract as ""Cardiovascular diseases"" due to the mention of pulmonary artery, which is a key anatomical structure in the cardiovascular system. Pulmonary arteries carry oxygen-poor blood from the heart to the lungs for gas exchange. Hemoptysis, the medical term for blood in sputum, is a symptom that can occur in various cardiovascular conditions, including pulmonary embolism and pulmonary hypertension. These conditions can lead to pulmonary artery occlusion or rupture, potentially causing massive pulmonary hemorrhage. The model likely attributed the patient's symptoms to a cardiovascular cause, recognizing the pulmonary artery as a relevant anatomical feature in the context of the abstract's content.",1.0,1.0,5.0400000000000205,17.773333333333337,18.243605946275583
