text,predicted_class,confidence,user_category,ablation_mode,explanation,lime_coverage,ontology_hit_rate,flesch_reading_ease,flesch_kincaid_grade,smog_index,experiment,generation_mode,example_id,explanation_word_count
A biphasic pattern of anti-pre-S responses in acute hepatitis B virus infection.…,Digestive system diseases,0.7331,BEGINNER,normal,"assistant
The model predicted that someone has a digestive system disease because it found that the person has an issue with their liver. In the biomedical world, the liver is part of the digestive system, so if there's something wrong with the liver, it could mean problems happening in other parts of the digestive tract too. This connection between the liver and digestion helps explain why the model thought this person might have a digestive system problem.",1.0,1.0,48.939177489177496,12.809610389610397,13.5591,BEGINNER / normal,normal,23,77
Surgical prophylaxis of malignant melanoma. A review of a 14-year experience wit…,Neoplasms,0.8733,BEGINNER,normal,"assistant
The model predicted 'Neoplasms' because it identified that the patient has a condition related to abnormal cell growth, specifically a type of skin cancer called melanoma. Melanoma falls under the broader category of neoplasms, which includes any new growth of tissue that can be either benign (non-cancerous) or malignant (cancerous). Therefore, since the patient has been diagnosed with melanoma, the model classified this case as falling within the category of neoplasms.",1.0,1.0,27.37500000000003,15.403333333333332,16.728156217252725,BEGINNER / normal,normal,24,72
"Rapid, nonradioactive detection of clonal T-cell receptor gene rearrangements in…",Neoplasms,0.7611,BEGINNER,normal,"The model predicted Neoplasms, but no ontology-based features were available to explain this decision.",0.0,0.0,17.382142857142867,14.312857142857148,14.554592549557764,BEGINNER / normal,normal,25,14
Cavernous hemangioma of the spinal cord: report of 2 unusual cases. We present 2…,Neoplasms,0.7727,BEGINNER,normal,"assistant
The model predicted that there were neoplasms because it found evidence of abnormal cell growth, which falls under the broader category of tumors. In this case, the key features identified were ""hemangioma"" and ""spinal cord."" Hemangiomas are benign tumors composed of blood vessels, while the spinal cord is an important part of the central nervous system. Both these conditions could potentially lead to the formation of neoplastic tissue if left untreated. Therefore, the model inferred from the presence of these abnormalities that there might be neoplasms present in the patient's body.",1.0,1.0,48.385086956521775,11.081652173913042,13.02386679866686,BEGINNER / normal,normal,26,92
Histochemical demonstration of 5'-nucleotidase activity in inflammatory muscle d…,General pathological conditions,0.6255,BEGINNER,normal,"assistant
The model predicted that the patient has ""General pathological conditions"" because it found several key indicators related to health issues affecting multiple parts of the body. These include:

1. **Disease**: This term refers to any abnormal condition or disorder within an organism. In this case, the model detected various diseases such as muscular dystrophy and polymyositis, which affect different systems like muscles and bones.

2. **Muscular dystrophy**: This is a group of genetic disorders characterized by progressive muscle weakness and degeneration. It can lead to severe physical disabilities if left untreated.

3. **Polymyositis**: This is another type of inflammatory myopathy, causing inflammation and damage to the muscles throughout the body. It often affects the muscles used for movement, leading to difficulty walking and other mobility problems.

These findings collectively suggest that the patient likely suffers from multiple interconnected health issues across their musculos",1.0,1.0,26.682500000000005,13.5125,15.021129683784007,BEGINNER / normal,normal,27,144
Refeeding of infants with acute diarrheal disease. The purpose of this study was…,Digestive system diseases,0.7134,BEGINNER,normal,"assistant
The model predicted that the patient has a digestive system disease because it detected symptoms like diarrhea and vomiting. These symptoms indicate issues within the digestive tract, which falls under the broader category of digestive system diseases according to the ontology. Diarrhea specifically relates to loose, watery stools, while vomiting involves the forceful expulsion of stomach contents through the mouth. Both conditions suggest problems with how food moves through the intestines or gets expelled from the body, both being hallmarks of digestive system diseases.",1.0,1.0,28.009779411764725,14.631617647058828,16.52667757954773,BEGINNER / normal,normal,28,85
HBV-DNA detection by gene amplification in acute hepatitis B. Serum samples from…,Digestive system diseases,0.7323,BEGINNER,normal,"assistant
The model predicted that someone has a digestive system disease because it found evidence of hepatitis B infection. Hepatitis B is a liver disease caused by a virus, which can affect other parts of the body like the digestive tract. When the model looked at the data, it saw mentions of both hepatitis B and hepatitis, indicating an association between these conditions and the digestive system. This suggests that the person might have inflammation or damage in their liver or intestines due to this viral infection.",1.0,1.0,38.89668103448281,13.2373275862069,14.90622815163357,BEGINNER / normal,normal,29,87
Left ventricular diastolic function in patients with left ventricular systolic d…,Cardiovascular diseases,0.9485,BEGINNER,normal,"assistant
The model predicted that the patient has cardiovascular diseases because it found two key features related to heart health: myocardial infarction and coronary artery disease. Myocardial infarction refers to a heart attack caused by blocked blood flow to part of the heart muscle, while coronary artery disease involves narrowing of the arteries supplying blood to the heart. Both conditions fall under the broader category of cardiovascular diseases, which affect the heart and blood vessels. Therefore, the model inferred that the patient likely has cardiovascular issues based on these findings.",1.0,1.0,25.137500000000017,15.34277777777778,16.218646115125612,BEGINNER / normal,normal,30,90
Oxygen uptake and heart rate responses during hypoxic exercise in children and a…,General pathological conditions,0.5042,BEGINNER,normal,"The model predicted General pathological conditions, but no ontology-based features were available to explain this decision.",0.0,0.0,-10.329999999999984,18.675,18.243605946275583,BEGINNER / normal,normal,31,16
Cellular immune response to hepatitis B virus-encoded antigens in acute and chro…,Digestive system diseases,0.7009,BEGINNER,normal,"assistant
The model predicted that someone has a digestive system disease because it found three key features related to this condition: ""liver,"" ""hepatitis E,"" and ""hepatitis B."" These features indicate an infection affecting the liver, which is part of the digestive system. Hepatitis is inflammation of the liver caused by viruses like hepatitis E and B. Therefore, the model inferred that the person likely has a digestive system disease due to liver involvement from these viral infections.",1.0,1.0,35.6754707792208,13.065551948051947,15.247664890283003,BEGINNER / normal,normal,32,77
"CV 205-502--effectiveness, tolerability, and safety over 24-month study. Twenty …",General pathological conditions,0.5862,BEGINNER,normal,"The model predicted General pathological conditions, but no ontology-based features were available to explain this decision.",0.0,0.0,-10.329999999999984,18.675,18.243605946275583,BEGINNER / normal,normal,33,16
The usefulness of simultaneous determinations of glucosaminylation and fucosylat…,Neoplasms,0.7992,BEGINNER,normal,"assistant
The model predicted that there were neoplasms because it detected an increased risk of abnormal cell growth and division, which falls under the broader category of cancerous tumors. This prediction was influenced by the presence of ""carcinoma,"" which is a type of tumor characterized by uncontrolled cell growth and spread within tissues. Carcinomas can occur anywhere in the body and may involve different types of cells depending on their origin. In this case, the model likely flagged the presence of carcinomas as indicative of potential neoplastic changes.",1.0,1.0,36.45500000000001,13.640000000000004,16.218646115125612,BEGINNER / normal,normal,34,88
Unusual aspects of aortovenous fistulas associated with ruptured abdominal aorti…,Cardiovascular diseases,0.718,BEGINNER,normal,"assistant
The model predicted cardiovascular diseases because it found that the patient has a vein, specifically an iliac vein, which is part of the circulatory system. This connection suggests that there might be issues related to blood flow or circulation problems within the heart or arteries, which could lead to cardiovascular diseases such as heart attacks or strokes. The presence of this particular vein indicates potential involvement in cardiovascular health, making cardiovascular diseases the most likely diagnosis among the options presented.",1.0,1.0,15.452222222222249,17.811604938271604,18.599290044081556,BEGINNER / normal,normal,35,81
Treatment of cervical spondylotic myelopathy by enlargement of the spinal canal …,Nervous system diseases,0.6074,BEGINNER,normal,"The model predicted Nervous system diseases, but no ontology-based features were available to explain this decision.",0.0,0.0,10.820000000000022,15.725000000000003,15.903189008614271,BEGINNER / normal,normal,36,16
Stroke rehabilitation: Australian patient profile and functional outcome. A pros…,Nervous system diseases,0.5932,BEGINNER,normal,"The model predicted Nervous system diseases, but no ontology-based features were available to explain this decision.",0.0,0.0,10.820000000000022,15.725000000000003,15.903189008614271,BEGINNER / normal,normal,37,16
Systemic hypertension in sleep apnea syndrome. Relationship with sleep architect…,Cardiovascular diseases,0.5745,BEGINNER,normal,"assistant
The model predicted that the patient has cardiovascular diseases because it found high levels of two key factors: hypertension and apnea. Hypertension is an underlying condition that can damage blood vessels over time, leading to heart problems. Apnea refers to pauses in breathing during sleep, which can cause oxygen deprivation and lead to various health issues including heart strain. Both conditions contribute to overall cardiovascular risk, making cardiovascular diseases the most likely diagnosis among these symptoms.",1.0,1.0,20.293652597402627,15.211006493506495,16.218646115125612,BEGINNER / normal,normal,38,77
Circadian variations in myocardial ischemia. Implications for management. Extend…,Cardiovascular diseases,0.8209,BEGINNER,normal,"The model predicted Cardiovascular diseases, but no ontology-based features were available to explain this decision.",0.0,0.0,-11.429999999999978,18.58,17.122413403193683,BEGINNER / normal,normal,39,15
Characterization of auscultatory gaps with wideband external pulse recording. Th…,Cardiovascular diseases,0.7493,BEGINNER,normal,"The model predicted Cardiovascular diseases, but no ontology-based features were available to explain this decision.",0.0,0.0,-11.429999999999978,18.58,17.122413403193683,BEGINNER / normal,normal,40,15
Infantile form of carnitine palmitoyltransferase II deficiency with hepatomuscul…,Digestive system diseases,0.5239,BEGINNER,normal,"assistant
The model predicted that someone has digestive system diseases because it found the word ""heart"" in the patient's information. In medicine, the heart is part of the circulatory system, which helps move blood around the body. If there's something wrong with the heart, it can affect how well other parts of the body function, including digestion. So, if the model saw ""heart"" in the data, it thought the person might have problems related to their digestive system.",1.0,1.0,55.80403846153848,10.320128205128206,12.602617957971052,BEGINNER / normal,normal,41,78
Amyotrophic lateral sclerosis: fasting plasma levels of cysteine and inorganic s…,Nervous system diseases,0.729,BEGINNER,normal,"assistant
The model predicted that the patient has a nervous system disease because it focused on the brain, which is an important part of the nervous system. The brain helps control various functions like movement, thinking, and feeling. When the model looked at the brain, it noticed something unusual or different from normal, suggesting there might be a problem affecting the nervous system. This could indicate conditions such as epilepsy, Parkinson’s disease, or other neurological disorders. By identifying the brain as influential, the model inferred that the patient likely has a nervous system issue.",1.0,1.0,41.95300000000003,12.078170212765958,13.02386679866686,BEGINNER / normal,normal,42,94
Resection of the primary liver cancer of the hepatic hilus. Primary liver cancer…,Neoplasms,0.7682,BEGINNER,normal,"assistant
The model predicted that there were neoplasms because it detected an increased presence of cancer cells within the tissue sample. Cancer is a type of neoplasm, which means abnormal growth of cells without control or regulation. In this case, the model found more cancer cells than usual, leading to the classification of ""neoplasms.""",1.0,1.0,47.565,11.096666666666668,12.45797560212912,BEGINNER / normal,normal,43,54
Pulmonary resection combined with cardiac operations. Surgical management of pat…,Cardiovascular diseases,0.4145,BEGINNER,normal,"The model predicted Cardiovascular diseases, but no ontology-based features were available to explain this decision.",0.0,0.0,-11.429999999999978,18.58,17.122413403193683,BEGINNER / normal,normal,44,15
Neuro-ophthalmic manifestations of human immunodeficiency virus infection. Both …,Neoplasms,0.5218,BEGINNER,normal,"assistant
The model predicted that there were neoplasms because it found the term ""brain"" mentioned in the data. In medicine, a neoplasm refers to any new growth of tissue that can occur anywhere in the body. When the model sees the word ""brain,"" it associates this with potential tumors or abnormal cell growths within the brain area. This connection helps the model classify the presence of such conditions as neoplasms.",1.0,1.0,53.712500000000034,10.115000000000002,13.02386679866686,BEGINNER / normal,normal,45,70
Postlaminectomy ossified extradural pseudocyst. Case report. A large ossified sp…,General pathological conditions,0.6085,BEGINNER,normal,"assistant
The model predicted that the patient has ""General pathological conditions"" because it found evidence of a condition called ""meningocele"" in the data. Meningocele is a type of neural tube defect, which means it involves problems with the developing brain and spinal cord. This condition can cause various issues related to the nervous system, leading to general health problems throughout the body. Therefore, the model inferred that the patient likely has multiple underlying health issues beyond just neurological concerns.",1.0,1.0,35.79381329113929,13.173259493670889,14.191785591663535,BEGINNER / normal,normal,46,79
Gallstone pancreatitis. Choosing and timing treatment. Patients with gallstone p…,Digestive system diseases,0.8022,BEGINNER,normal,"The model predicted Digestive system diseases, but no ontology-based features were available to explain this decision.",0.0,0.0,5.532499999999999,16.462500000000002,17.122413403193683,BEGINNER / normal,normal,47,16
Angiotensin converting enzyme inhibitors and quality of life. The term quality o…,Cardiovascular diseases,0.9435,BEGINNER,normal,"assistant
The model predicted that someone has cardiovascular diseases because it found high levels of hypertension in their data. Hypertension is a condition affecting blood pressure in the arteries, which can lead to various heart problems over time. When hypertension is detected, the model likely inferred an increased risk of developing cardiovascular diseases such as heart attacks or strokes.",1.0,1.0,26.276723163841808,14.480000000000004,15.903189008614271,BEGINNER / normal,normal,48,59
Swan-Ganz catheter-induced massive hemoptysis and pulmonary artery false aneurys…,Cardiovascular diseases,0.7713,BEGINNER,normal,"assistant
The model predicted cardiovascular diseases because it found that someone had a problem related to their lungs, specifically an issue involving blood flowing through the arteries leading from the heart to the lungs. This suggests a condition affecting the circulatory system, which falls under the broader category of cardiovascular diseases. The key features identified were ""pulmonary artery"" and ""hemoptysis,"" both of which relate directly to lung function and blood flow issues within the cardiovascular system.",1.0,1.0,15.261140350877213,17.424210526315793,17.879347455551382,BEGINNER / normal,normal,49,76
Normalization of ventilation/perfusion relationships after liver transplantation…,Digestive system diseases,0.5919,BEGINNER,normal,"The model predicted Digestive system diseases, but no ontology-based features were available to explain this decision.",0.0,0.0,5.532499999999999,16.462500000000002,17.122413403193683,BEGINNER / constrained decoding,constrained_decoding,0,16
Color Doppler imaging. A new noninvasive technique to diagnose and monitor carot…,Cardiovascular diseases,0.791,BEGINNER,normal,"The model predicted Cardiovascular diseases, but no ontology-based features were available to explain this decision.",0.0,0.0,-11.429999999999978,18.58,17.122413403193683,BEGINNER / constrained decoding,constrained_decoding,1,15
Endometriosis associated with massive ascites and absence of pelvic peritoneum. …,Digestive system diseases,0.6624,BEGINNER,normal,"assistant
The model predicted that the patient has a digestive system disease because the key features identified are related to the digestive system. The term ""ascites"" refers to fluid buildup in the abdomen, which can be a symptom of liver or kidney problems. ""Peritoneum"" is the membrane that lines the abdomen and covers the organs inside. Lastly, ""peritoneal mesothelioma"" is a type of cancer that affects this membrane, which falls under the broader category of digestive system diseases.",1.0,1.0,40.61942307692311,12.438076923076924,13.02386679866686,BEGINNER / constrained decoding,constrained_decoding,2,78
Long-term evaluation of indobufen in peripheral vascular disease. Indobufen--an …,Cardiovascular diseases,0.923,BEGINNER,normal,"assistant
The model predicted that the patient has cardiovascular diseases because it identified the symptom 'claudication' in the patient's medical history. Claudication is a symptom that occurs when blood flow to the legs is reduced, often due to blockages in the arteries. This reduction in blood flow can lead to cardiovascular diseases, such as coronary artery disease or peripheral artery disease, which affect the heart and blood vessels. Therefore, the model inferred that cardiovascular diseases might be a risk for the patient based on this symptom.",1.0,1.0,29.58459302325585,14.474069767441858,15.903189008614271,BEGINNER / constrained decoding,constrained_decoding,3,86
Salvage chemotherapy for patients with germ cell tumors. The Memorial Sloan-Kett…,Neoplasms,0.8961,BEGINNER,normal,"The model predicted Neoplasms, but no ontology-based features were available to explain this decision.",0.0,0.0,17.382142857142867,14.312857142857148,14.554592549557764,BEGINNER / constrained decoding,constrained_decoding,4,14
Evaluation of endosonography in TN staging of oesophageal cancer. Strategies for…,Neoplasms,0.6918,BEGINNER,normal,"assistant
The model predicted that the patient has neoplastic conditions because it identified the presence of cancer, which is a type of neoplasm. Cancer is a disease characterized by the uncontrolled growth and division of cells, leading to the formation of tumors. In this case, the model detected cancer as an influential feature, indicating a high likelihood of the patient having a neoplasia, which includes both benign and malignant tumors.",1.0,1.0,33.28880952380953,14.412857142857144,16.32212239822248,BEGINNER / constrained decoding,constrained_decoding,5,70
A unified hypothesis for the complex genetics of HLA associations with IDDM. Our…,General pathological conditions,0.7747,BEGINNER,normal,"The model predicted General pathological conditions, but no ontology-based features were available to explain this decision.",0.0,0.0,-10.329999999999984,18.675,18.243605946275583,BEGINNER / constrained decoding,constrained_decoding,6,16
The cancer experience in the Framingham Heart Study cohort. The almost 40-year r…,Neoplasms,0.7808,BEGINNER,normal,"assistant
The model predicted that the patient has neoplastic tissue, which means abnormal growth of cells. The key feature identified is ""colon,"" which is part of the anatomy of the body. In the biomedical context, ""colon"" refers to the large intestine, which is a site where abnormal cell growth can occur. Therefore, the model likely inferred that there is an abnormal growth or tumor in the colon, leading to the prediction of ""neoplasm.""",1.0,1.0,50.4016609589041,10.763116438356167,13.02386679866686,BEGINNER / constrained decoding,constrained_decoding,7,73
Long-term (5 to 20 years) Evolution of nongrafted aplastic anemias. The Cooperat…,General pathological conditions,0.8099,BEGINNER,normal,"assistant
The model predicted that the patient has a general pathological condition because it identified hepatitis as a key feature. Hepatitis is a disease of the gastrointestinal system, which falls under the broader category of general pathological conditions. Therefore, the model likely considered hepatitis to be a significant factor in the patient's overall health status, leading it to classify the patient as having a generalized health issue rather than a specific disease like diabetes or heart disease.",1.0,1.0,10.484632034632028,18.17324675324676,18.243605946275583,BEGINNER / constrained decoding,constrained_decoding,8,77
Percutaneous biliary drainage for high obstruction. PBD is the preferred route o…,Digestive system diseases,0.7075,BEGINNER,normal,"The model predicted Digestive system diseases, but no ontology-based features were available to explain this decision.",0.0,0.0,5.532499999999999,16.462500000000002,17.122413403193683,BEGINNER / constrained decoding,constrained_decoding,9,16
Lower extremity arterial disease in elderly subjects with systolic hypertension.…,Cardiovascular diseases,0.9408,BEGINNER,normal,"assistant
The model predicted cardiovascular diseases because it identified hypertension as a key feature. Both hypertension and hypertension are diseases of the cardiovascular system, which falls under the broader category of cardiovascular diseases. Therefore, the model likely considered hypertension to be a significant risk factor for cardiovascular health issues, leading to the prediction of a cardiovascular disease. The ontology paths show that hypertension is directly related to cardiovascular diseases, making it a crucial factor in the model's decision.",1.0,1.0,-1.6805769230768988,18.33807692307693,17.693802365651003,BEGINNER / constrained decoding,constrained_decoding,10,78
Role of surgery in antibiotic-induced pseudomembranous enterocolitis. With the i…,Digestive system diseases,0.7851,BEGINNER,normal,"assistant
The model predicted that the patient has a digestive system disease because it identified ""colitis"" as an influential feature. Colitis is a type of inflammation in the colon, which falls under the broader category of diseases affecting the digestive system. The model likely analyzed the patient's symptoms and medical history to conclude that colitis is the most probable cause of their condition, leading to the prediction of digestive system diseases.",1.0,1.0,23.14572769953054,15.910422535211268,18.243605946275583,BEGINNER / constrained decoding,constrained_decoding,11,71
